"","edad","hombreFemale","hombreMale","casadoMarried","raza1","raza2","raza3","raza4","miembros","dependent","wdepentwith.dependents","wdepent.","senior","nonsenior","n.seniorhh","n.nonseniorhh","n.childhh","nonsensexOnly.male","nonsensexBoth.female.and.male","nonsensex.","agecompOnly.senior.adults","agecompOnly.children","propietaOwner","habita","precariaHazardous","matprecaLow.quality.material","aguaAccess","banioAccess","cloacasAccess","electAccess","heladeraAccess","lavarropasAccess","aireAccess","telefono.fijoAccess","celularAccess","televisorAccess","tv.cableAccess","videoAccess","computadoraAccess","internet.casaAccess","autoAccess","motoAccess","biciAccess","asisteAttend","aedu","inSchool","region1","region2","region3","region4","urbanoUrban","peaActive","ocupadoEmployed","desocupaUnemployed","hstrt","relabSalaried.worker","relabSelf.employed","relabNot.salaried","relabUnemployed","n.earnhh","earnhhSingle.earners","earnhhMultiple.earners","hhdivisionmale","hhdivisionhead.couple","hhdivisionother","hhdivision.","ecocompSingle.earners.female.w.o.dependets","ecocompSingle.earners.female.with.dependents","ecocompSingle.earners.male.w.o.dependets","ecocompSingle.earners.male.with.dependents","ecocompMultiple.earners.head.couple.w.o.dependets","ecocompMultiple.earners.head.couple.with.dependents","ecocompMultiple.earners.other.w.o.dependets","ecocompMultiple.earners.other.with.dependents","Ytrain"
"34",54,0,1,1,1,0,0,0,5,0,1,0,0,1,0,3,2,0,1,0,0,0,1,4,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,11,1,1,0,0,0,1,1,1,0,8,1,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,5.3608570098877
"6483",53,0,1,1,1,0,0,0,4,0,1,0,0,1,0,2,2,0,1,0,0,0,1,3,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,6,1,0,0,0,1,1,1,1,0,45,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,4.14574241638184
"82",52,1,0,0,1,0,0,0,7,0,1,0,0,1,0,4,3,0,1,0,0,0,1,4,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,6,1,1,0,0,0,1,1,1,0,60,0,1,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,1,5.20534086227417
"638",48,0,1,1,1,0,0,0,4,0,1,0,0,1,0,3,1,0,1,0,0,0,1,6,0,0,1,1,1,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0,10,1,1,0,0,0,1,1,1,0,56,0,1,0,0,2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,5.8134617805481
"5503",28,0,1,1,1,0,0,0,4,0,1,0,0,1,0,2,2,0,1,0,0,0,1,3,0,0,1,0,0,1,1,0,0,0,1,1,1,0,0,0,0,1,1,0,9,0.5,0,0,1,0,1,1,1,0,48,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,6.52996730804443
"1692",35,0,1,1,1,0,0,0,4,0,1,0,0,1,0,3,1,0,1,0,0,0,0,5,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,16,1,1,0,0,0,1,1,1,0,40,1,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,6.61511659622192
"2554",47,1,0,0,1,0,0,0,8,0,1,0,0,1,0,7,1,0,1,0,0,0,1,4,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,2,0,1,0,0,0,1,1,1,0,42,1,0,0,0,4,0,1,0,0,1,0,0,0,0,0,0,0,0,1,5.24314260482788
"607",37,1,0,1,1,0,0,0,6,0,1,0,0,1,0,4,2,0,1,0,0,0,1,2,0,0,1,1,1,1,1,0,0,0,1,1,1,0,1,1,0,1,0,0,16,1,1,0,0,0,1,1,1,0,40,1,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,1,5.26026105880737
"447",44,0,1,0,1,0,0,0,3,0,1,0,0,1,0,2,1,0,1,0,0,0,1,3,0,0,1,0,0,1,1,1,0,0,1,1,1,1,0,0,0,0,1,0,7,0,1,0,0,0,1,1,1,0,84,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,6.52338123321533
"6818",50,0,1,1,1,0,0,0,7,0,1,0,0,1,0,5,2,0,1,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,1,0,60,1,0,0,0,5,0,1,0,0,1,0,0,0,0,0,0,0,0,1,5.33736419677734
"3039",35,0,1,1,1,0,0,0,4,0,1,0,0,1,0,2,2,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,6,1,0,1,0,0,1,1,1,0,45,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,4.28796052932739
"6668",54,0,1,1,1,0,0,0,4,0,1,0,0,1,0,2,2,0,1,0,0,0,1,5,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,1,1,0,37,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,4.38991403579712
"8",57,0,1,1,1,0,0,0,3,0,1,0,0,1,0,3,0,0,1,0,0,0,1,4,0,0,1,0,0,1,1,0,0,0,1,1,1,0,1,0,0,1,0,0,6,1,1,0,0,0,1,1,1,0,90,1,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,5.87217092514038
"2222",62,0,1,1,1,0,0,0,5,0,1,0,0,1,0,4,1,0,1,0,0,0,1,3,0,0,1,0,0,1,1,0,0,0,1,1,0,1,1,0,1,1,0,0,6,1,1,0,0,0,0,1,1,0,40,0,1,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,1,6.17409086227417
"1084",38,0,1,1,1,0,0,0,5,0,1,0,0,1,0,2,3,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,16,0.666666686534882,1,0,0,0,1,1,1,0,48,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,5.33795499801636
"5143",28,0,1,1,1,0,0,0,5,0,1,0,0,1,0,2,3,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.666666686534882,0,0,1,0,0,1,1,0,95,1,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,5.8163743019104
"2693",52,0,1,0,1,0,0,0,5,0,1,0,0,1,0,5,0,0,1,0,0,0,1,6,0,0,1,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,1,0,11,1,1,0,0,0,1,1,1,0,48,1,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,5.10663414001465
"1010",60,0,1,1,1,0,0,0,6,0,1,0,0,1,0,5,1,0,1,0,0,0,1,4,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,11,0,1,0,0,0,1,1,1,0,54,1,0,0,0,4,0,1,0,0,1,0,0,0,0,0,0,0,0,1,4.74922561645508
"5406",36,0,1,1,1,0,0,0,4,0,1,0,0,1,0,2,2,0,1,0,0,0,1,3,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.5,0,0,1,0,1,1,1,0,54,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,4.83154916763306
"5262",60,1,0,0,1,0,0,0,3,0,1,0,0,1,0,2,1,0,1,0,0,0,1,3,0,0,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,16,0,0,0,1,0,1,1,1,0,40,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,5.38061904907227
"5849",54,0,1,1,1,0,0,0,3,0,1,0,0,1,0,2,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,48,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,4.76833772659302
"3893",58,0,1,1,1,0,0,0,10,0,1,0,0,1,0,6,4,0,1,0,0,0,1,4,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,5,1,0,1,0,0,1,1,1,0,60,0,1,0,0,6,0,1,0,0,1,0,0,0,0,0,0,0,0,1,5.35993814468384
"6830",27,0,1,1,1,0,0,0,4,0,1,0,0,1,0,2,2,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,30,1,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,4.89125967025757
